Word,Frequency
woods,4
stories,3
trees,3
nature,2
whispering,2
it,2
deeper,2
they,2
friends,2
its,2
Leo,1
known,1
could,1
locals,1
leading,1
talk,1
discovered,1
was,1
saying,1
bewitched,1
but,1
couldnâ€™t,1
resist,1
adventurous,1
teens,1
as,1
exploring,1
walked,1
into,1
started,1
avoided,1
path,1
his,1
told,1
tree,1
each,1
times,1
fought,1
lovers,1
separated,1
ancient,1
also,1
warned,1
about,1
them,1
dangers,1
forgetting,1
past,1
battles,1
importance,1
moved,1
these,1
by,1
protect,1
share,1
their,1
promised,1
knowledge,1
left,1
wiser,1
respect,1
untold,1
ready,1
advocate,1
preservation,1
